t_ps,delta_k,sigma_dk
-16,0.04084549844,0.0002594898979
-11,0.04084549844,0.0002594898979
-6,0.04084549844,0.0002594898979
-1,0.04084549844,0.0002594898979
4,0.04011164606,0.0001620831026
9,0.03731283545,0.0002157428535
14,0.03648607433,0.0001621260744
19,0.03665752709,0.0001660016424
24,0.03462615609,0.0001280914294
29,0.03494170308,0.0001760714804
34,0.03313903511,0.0001655214874
39,0.03381597996,0.0001780083403
44,0.03320166469,0.0001700729481
49,0.03289055824,0.0001591517066
54,0.03244076669,0.0001617792586
59,0.03164210916,0.0001591117616
64,0.0311126709,0.0001991804165
69,0.03191779554,0.0002114328672
74,0.03183153272,0.0001650533814
79,0.03161939979,0.0001477182959
84,0.03131636977,0.0001838028111
89,0.03111153841,0.0001817307348
94,0.03182448447,0.0001489702699
99,0.03116922081,0.0002134156384
104,0.03067336977,0.0001895160822
