t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.500000000000000000e+00,2.641541583683031380e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.036752576194344133e-01
-1.438356164383561397e+00,2.655822602226122764e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-2.464854430503482519e-01
-1.376712328767123017e+00,2.641087170206589674e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-9.913112285501735066e-02
-1.315068493150684636e+00,2.592079340972957002e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,3.909471694813093645e-01
-1.253424657534246256e+00,2.658334733921281501e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-2.716067600019356210e-01
-1.191780821917807875e+00,2.644565295092008439e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.339123717092050025e-01
-1.130136986301369939e+00,2.615065460860279134e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,1.610859706080880471e-01
-1.068493150684931559e+00,2.648607601046978344e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.743354312589040500e-01
-1.006849315068493178e+00,2.642111229806670125e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.093717188558218645e-01
-9.452054794520549086e-01,2.639998032820753959e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-8.823974899666020555e-02
-8.835616438356164171e-01,2.632026725160561687e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-8.526672394737477845e-03
-8.219178082191781476e-01,2.647575447519461278e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.640138959837333932e-01
-7.602739726027397671e-01,2.609080435311038060e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,2.209362261004987893e-01
-6.986301369863013866e-01,2.626286759481296085e-01,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,4.887298439791853966e-02
-6.369863013698631171e-01,2.616710478540688611e-01,2.631174057921087939e-01,4.000000000000568434e+00,4.000000000000000000e+00,4.000000000000000888e+00,8.563488385776752976e-01,2.631174057921087939e-01,1.446357938039932733e-01
-5.753424657534247366e-01,2.649139444300127044e-01,2.631174057921087939e-01,4.000000000953360946e+00,4.000000000000000000e+00,4.000000000001133316e+00,8.563488385776752976e-01,2.631174057921087939e-01,-1.796538637903910551e-01
-5.136986301369863561e-01,2.632365721145537574e-01,2.631174057921087939e-01,4.000000423483974110e+00,4.000000000000206946e+00,4.000000000626900309e+00,8.563488385776745204e-01,2.631174057921087939e-01,-1.191663224449635017e-02
-4.520547945205479756e-01,2.622400355392135451e-01,2.631174057921087939e-01,4.000042738806655507e+00,4.000000000026850522e+00,4.000000081436262178e+00,8.563488385775493983e-01,2.631174057921087939e-01,8.773702528952487256e-02
