t_ps,Te_1p0mW,Ts_1p0mW,Tl_1p0mW,m_1p0mW,meq_1p0mW,tau_m_ps_1p0mW,dm_dt_per_ps_1p0mW,Ts_minus_TN_1p0mW,above_TN_1p0mW,Te_2p0mW,Ts_2p0mW,Tl_2p0mW,m_2p0mW,meq_2p0mW,tau_m_ps_2p0mW,dm_dt_per_ps_2p0mW,Ts_minus_TN_2p0mW,above_TN_2p0mW,Te_2p5mW,Ts_2p5mW,Tl_2p5mW,m_2p5mW,meq_2p5mW,tau_m_ps_2p5mW,dm_dt_per_ps_2p5mW,Ts_minus_TN_2p5mW,above_TN_2p5mW,Te_3p0mW,Ts_3p0mW,Tl_3p0mW,m_3p0mW,meq_3p0mW,tau_m_ps_3p0mW,dm_dt_per_ps_3p0mW,Ts_minus_TN_3p0mW,above_TN_3p0mW,Te_3p5mW,Ts_3p5mW,Tl_3p5mW,m_3p5mW,meq_3p5mW,tau_m_ps_3p5mW,dm_dt_per_ps_3p5mW,Ts_minus_TN_3p5mW,above_TN_3p5mW,Te_4p0mW,Ts_4p0mW,Tl_4p0mW,m_4p0mW,meq_4p0mW,tau_m_ps_4p0mW,dm_dt_per_ps_4p0mW,Ts_minus_TN_4p0mW,above_TN_4p0mW
-2.0,4.471849739551544,4.471849739551544,4.471849739551544,0.8377808090603992,0.8377808090603992,30.0,-0.0,-10.528150260448456,0.0,4.775087773799896,4.775087773799896,4.775087773799896,0.825627528053666,0.825627528053666,30.0,-0.0,-10.224912226200104,0.0,4.897829234600067,4.897829234600067,4.897829234600067,0.8206570849183368,0.8206570849183368,30.0,-0.0,-10.102170765399933,0.0,5.007903516292572,5.007903516292572,5.007903516292572,0.8161738574473549,0.8161738574473549,30.0,-0.0,-9.992096483707428,0.0,5.108064353466034,5.108064353466034,5.108064353466034,0.8120728886224424,0.8120728886224424,30.0,-0.0,-9.891935646533966,0.0,5.200219690799713,5.200219690799713,5.200219690799713,0.8082813169188183,0.8082813169188183,30.0,-0.0,-9.799780309200287,0.0
-1.75,4.471434334890223,4.4717060642620154,4.471427969641622,0.8377808328092977,0.8377865255436687,30.0,1.8975781236700112e-07,-10.528293935737985,0.0,4.774389690166449,4.77485176593986,4.774390282750434,0.8256275676388966,0.8256370564220956,30.0,3.1629277330210334e-07,-10.22514823406014,0.0,4.897013587693447,4.8975558537821335,4.897019499813394,0.8206571310497639,0.820668188986587,30.0,3.6859789410333594e-07,-10.102444146217866,0.0,5.006980988587679,5.0075966197192665,5.0069928861561035,0.8161739095188076,0.8161863913053494,30.0,4.16059551392826e-07,-9.992403380280734,0.0,5.107043421893549,5.107726959813909,5.107061752726898,0.8120729461574309,0.8120867375753278,30.0,4.5971392989748354e-07,-9.89227304018609,0.0,5.199107284618662,5.1998542377661785,5.199132354449304,0.8082813795310235,0.8082963879763339,30.0,5.002815103442396e-07,-9.800145762233822,0.0
-1.5,4.47116790356454,4.471562299743458,4.471053174377385,0.8377809038174132,0.8377922455380985,30.0,3.7805735617624233e-07,-10.528437700256543,0.0,4.7739345372231705,4.774615606393275,4.773756191576841,0.8256276859973822,0.825646590804513,30.0,6.301602376912463e-07,-10.225384393606724,0.0,4.8964783344747325,4.8972822952465895,4.896277655267613,0.820657268981288,0.8206793001229088,30.0,7.343713873601368e-07,-10.10271770475341,0.0,5.006372120317689,5.007289521803164,5.00615332328743,0.8161740652109164,0.8161989331936521,30.0,8.289327578570038e-07,-9.992710478196836,0.0,5.10636612099118,5.1073893431292765,5.106132501611228,0.8120731181854107,0.8121005954465954,30.0,9.159087061560989e-07,-9.892610656870723,0.0,5.198365813643907,5.199488541608961,5.198120016720759,0.8082815667397666,0.8083114687788381,30.0,9.967346357164786e-07,-9.800511458391039,0.0
-1.25,4.470945482787646,4.471418497438114,4.470726827563372,0.8377810217117206,0.8377979669968922,30.0,5.648428390532996e-07,-10.528581502561886,0.0,4.773554398696281,4.77437937652666,4.773191401516222,0.8256278825093649,0.8256561279157864,30.0,9.415135473811453e-07,-10.22562062347334,0.0,4.8960313308481425,4.897008651851419,4.895611565580176,0.8206574979914583,0.8206904145554758,30.0,1.0972188005831107e-06,-10.102991348148581,0.0,5.005863719483767,5.006982325418509,5.005394442160492,0.8161743237100674,0.8162114789106024,30.0,1.238506684501465e-06,-9.993017674581491,0.0,5.1058006933163105,5.1070516151681264,5.105287766426439,0.8120734038080762,0.8121144576487509,30.0,1.3684613558218039e-06,-9.892948384831874,0.0,5.197746951903792,5.199122722063171,5.197195220035448,0.8082818775680927,0.8083265543882138,30.0,1.4892273373701136e-06,-9.800877277936829,0.0
-1.0,4.470743700223069,4.47127467961002,4.470440471407099,0.8377811861112326,0.8378036890342104,30.0,7.50097432592837e-07,-10.52872532038998,0.0,4.773208581011584,4.774143111552088,4.7726869035401425,0.8256281565424083,0.825665666334258,30.0,1.2503263949896019e-06,-10.225856888447911,0.0,4.8956243521684035,4.896734963810654,4.8950126119356465,0.8206578173443063,0.8207015306508347,30.0,1.4571102176138182e-06,-10.103265036189345,0.0,5.00540057466107,5.006675075171971,5.004708174646021,0.8161746841865075,0.816224026634356,30.0,1.6447482616162763e-06,-9.993324924828029,0.0,5.10528539504119,5.106713824469175,5.104520105043005,0.8120738021095265,0.8121283221893293,30.0,1.817335993425928e-06,-9.893286175530825,0.0,5.197182812708282,5.198756831238567,5.196351177554655,0.8082823110201296,0.8083416426553578,30.0,1.977721174273306e-06,-9.801243168761433,0.0
-0.75,4.470555414841768,4.471130860223624,4.470185694743836,0.8377813966323722,0.8378094110944476,30.0,9.338154025151369e-07,-10.528869139776376,0.0,4.772884885399747,4.773906833370116,4.772232343239389,0.8256285074601495,0.8256752051757351,30.0,1.5565905195210244e-06,-10.226093166629884,0.0,4.895242915164472,4.896461255976487,4.894470191618349,0.8206582262994653,0.8207126473995435,30.0,1.814036669275006e-06,-10.103538744023513,0.0,5.004966010517618,5.006367798446423,5.004083896344442,0.8161751458056905,0.8162365752465632,30.0,2.0476480290909647e-06,-9.993632201553577,0.0,5.104801428946338,5.106376000631456,5.103819010482621,0.8120743121687299,0.8121421878533563,30.0,2.262522820880205e-06,-9.893623999368543,0.0,5.1966525343138255,5.198390900708041,5.195577586622519,0.8082828660945781,0.8083567322781842,30.0,2.46220612020176e-06,-9.801609099291959,0.0
-0.5,4.470377160300303,4.470987049512198,4.469955599679551,0.8377816528908099,0.8378151327704619,30.0,1.1159959884025442e-06,-10.529012950487802,0.0,4.772577940962914,4.773670558331787,4.77181862858463,0.8256289346251993,0.8256847437801029,30.0,1.860305163455441e-06,-10.226329441668213,0.0,4.89488086846962,4.8961875469611265,4.893974738453268,0.8206587241155069,0.8207237640456491,30.0,2.1679976714058156e-06,-10.103812453038874,0.0,5.004553145731574,5.006060515767301,5.003511783435566,0.8161757077320163,0.8162491239089816,30.0,2.447205898844136e-06,-9.9939394842327,0.0,5.10434121287927,5.106038165827806,5.1031745442423135,0.8120749330636378,0.8121560537307345,30.0,2.7040222365585603e-06,-9.893961834172195,0.0,5.196147850572233,5.1980249540838726,5.194864490970279,0.808283541789179,0.808371822282961,30.0,2.9426831260651968e-06,-9.801975045916127,0.0
-0.25,4.470206633558034,4.470843255320446,4.4697447477663745,0.8377819545024446,0.837820853750154,30.0,1.2966415903129894e-06,-10.529156744679554,0.0,4.772284367936442,4.773434299421482,4.771438211398193,0.8256294374005788,0.8256942816231893,30.0,2.161474087014614e-06,-10.226565700578519,0.0,4.894534461414161,4.895913851699183,4.893518159540788,0.8206593100515434,0.820734879982601,30.0,2.5189977019205816e-06,-10.104086148300816,0.0,5.004157914999506,5.005753243730573,5.002983389303546,0.8161763691305745,0.8162616719438861,30.0,2.843427110388319e-06,-9.994246756269426,0.0,5.103900402241009,5.105700338087345,5.102578037938748,0.8120756638730566,0.8121699190814959,30.0,3.1418402813102966e-06,-9.894299661912655,0.0,5.195664159794049,5.197659010644942,5.194203093936131,0.8082843371027078,0.8083869118747143,30.0,3.41915906688639e-06,-9.80234098935506,0.0
0.0,4.4700421160110455,4.470699483730685,4.469548890933899,0.8377823010840771,0.8378265737915501,30.0,1.4757569157660316e-06,-10.529300516269316,0.0,4.772001630639453,4.773198067133057,4.771084914113465,0.825630015150681,0.8257038182813876,30.0,2.4601043568865204e-06,-10.226801932866943,0.0,4.894200899267279,4.895640182424446,4.8930937225661895,0.820659983368276,0.8207459947135717,30.0,2.8670448431911135e-06,-10.104359817575553,0.0,5.003777321338201,5.005445996076603,5.002491590889003,0.8161771291682639,0.8162742187902052,30.0,3.236320731377547e-06,-9.994554003923398,0.0,5.103475836806711,5.105362532465983,5.102022095350497,0.8120765036778257,0.812183783287749,30.0,3.5759869974431404e-06,-9.894637467534018,0.0,5.19519816567649,5.197293086604677,5.193585812316228,0.8082852510361993,0.8084020003849292,30.0,3.891644957661663e-06,-9.802706913395323,0.0
0.25,4.594639847305128,4.470559474419752,4.470869106695148,0.8377826921873078,0.8378321441108295,30.0,1.6483974507227235e-06,-10.529440525580249,0.0,5.004645401078332,4.77296863312516,4.773080268315893,0.8256306671193415,0.8257130803886962,30.0,2.7471089784884366e-06,-10.22703136687484,0.0,5.17719275004677,4.895374676095892,4.895327063528176,0.820660743180372,0.8207567777729733,30.0,3.201153086710799e-06,-10.10462532390411,0.0,5.335299140383233,5.0051482026240235,5.004922583233374,0.8161779868415318,0.816286379378217,30.0,3.6130845561754833e-06,-9.994851797375976,0.0,5.481979197190958,5.105035410830314,5.104620423015705,0.8120774513648144,0.8121972087766898,30.0,3.9919137291806924e-06,-9.894964589169685,0.0,5.619340490921996,5.196939024013502,5.196328006427308,0.8082862823739658,0.8084165995321347,30.0,4.34390527229711e-06,-9.803060975986497,0.0
0.5,173.93973575187562,4.496634132029015,8.003250477226034,0.8377812595791083,0.8367941151789164,30.0,-3.2904813339729166e-05,-10.503365867970984,0.0,246.7593656973353,4.80923829914489,8.763879178102899,0.8256287163739535,0.8242476044189274,30.0,-4.60370651675368e-05,-10.19076170085511,0.0,276.1116115525647,4.9355522021878295,9.02483400372197,0.8206585936210089,0.8191234256940839,30.0,-5.1172264230832836e-05,-10.064447797812171,0.0,302.65110492719333,5.0487679003975074,9.244128898845238,0.8161756611927304,0.8145032064435552,30.0,-5.5748491639173724e-05,-9.951232099602493,0.0,327.05852205189166,5.151748706873743,9.433915262736264,0.8120749663888652,0.810277783361001,30.0,-5.990610092880821e-05,-9.848251293126257,0.0,349.77647838988037,5.246473394283454,9.60161930529822,0.8082836510538257,0.8063715688488587,30.0,-6.373607349889898e-05,-9.753526605716546,0.0
0.75,267.1467759641893,4.627186126124664,12.24908242626359,0.8377525263553736,0.8315773715806741,30.0,-0.00020583849248998105,-10.372813873875337,0.0,380.9766963965708,4.98891952928696,13.417877442182311,0.8255885416057084,0.8169488140111366,30.0,-0.0002879909198190589,-10.01108047071304,0.0,426.86032839707605,5.134032644067101,13.814984873626123,0.8206139304526306,0.8110062620363626,30.0,-0.0003202556138756011,-9.865967355932899,0.0,468.3453564102995,5.263799617866994,14.147421635811464,0.8161269925700543,0.8056550288278065,30.0,-0.00034906545807492637,-9.736200382133006,0.0,506.4965926132794,5.381651544267346,14.434261411888253,0.812022654576078,0.8007641540317455,30.0,-0.00037528335147775095,-9.618348455732654,0.0,542.0075624531621,5.489933543474053,14.687112387187502,0.8082279802606993,0.7962439515846027,30.0,-0.0003994676225365534,-9.510066456525948,0.0
