t_ps,m_1p0mW,chi2q_1p0mW,eta_1p0mW,phi_1p0mW,m_chi2q_1p0mW,m2_chi2q2_1p0mW,m2_chi2q_1p0mW,m2_1p0mW,m_2p0mW,chi2q_2p0mW,eta_2p0mW,phi_2p0mW,m_chi2q_2p0mW,m2_chi2q2_2p0mW,m2_chi2q_2p0mW,m2_2p0mW,m_2p5mW,chi2q_2p5mW,eta_2p5mW,phi_2p5mW,m_chi2q_2p5mW,m2_chi2q2_2p5mW,m2_chi2q_2p5mW,m2_2p5mW,m_3p0mW,chi2q_3p0mW,eta_3p0mW,phi_3p0mW,m_chi2q_3p0mW,m2_chi2q2_3p0mW,m2_chi2q_3p0mW,m2_3p0mW,m_3p5mW,chi2q_3p5mW,eta_3p5mW,phi_3p5mW,m_chi2q_3p5mW,m2_chi2q2_3p5mW,m2_chi2q_3p5mW,m2_3p5mW,m_4p0mW,chi2q_4p0mW,eta_4p0mW,phi_4p0mW,m_chi2q_4p0mW,m2_chi2q2_4p0mW,m2_chi2q_4p0mW,m2_4p0mW
-2.0,0.8377808090603992,0.3562285783740589,0.9343988441503965,0.18211428560454088,0.2984414666006549,0.08906730898674982,0.2500285333458688,0.7018766840298971,0.825627528053666,0.35004885522788237,0.9367314444138454,0.17881162906832723,0.28900997103981213,0.08352676336043305,0.2386145879724617,0.6816608150800071,0.8206570849183368,0.3475118003098209,0.9376756094969236,0.17745810590298702,0.28518802101698076,0.08133220733158186,0.2340415699814248,0.6734780510266622,0.8161738574473549,0.345218520929632,0.9385223347407121,0.1762358051083591,0.2817583318894082,0.0793877575891019,0.22996378460611036,0.6661397655804953,0.8120728886224424,0.34311664308270307,0.9392928027189695,0.17511648461338578,0.27863572348260623,0.07763786640067541,0.22627251684192418,0.6594623764355978,0.8082813169188183,0.34116978607460896,0.9400016899292286,0.17408053398443507,0.27576116398129646,0.07604421956031948,0.2228925967778685,0.6533186872800192
-1.75,0.8377808328092977,0.35622857929340423,0.9343988437999069,0.18211428609648567,0.29844147583090114,0.08906731449612634,0.25002854816644826,0.7018767238226404,0.8256275676388966,0.3500488567155595,0.9367314438579126,0.17881162986240604,0.289009986124844,0.08352677207988253,0.2386146118676062,0.6816608804453207,0.8206571310497639,0.3475118020223184,0.9376756088622552,0.177458106816148,0.2851880384535694,0.08133221727699456,0.23404159744701597,0.6734781267428294,0.8161739095188076,0.3452185228411203,0.9385223340376055,0.17623580612670903,0.28175835142554495,0.07938776859804089,0.22996381522256112,0.6661398505792148,0.8120729461574309,0.3431166451730659,0.9392928019553756,0.17511648572611804,0.27863574492134546,0.0776378783478731,0.2262725502830474,0.6594624698808096,0.8082813795310235,0.34116978832767425,0.9400016891114876,0.17408053518287192,0.2757611871637998,0.07604423234598824,0.2228926327818689,0.6533187884965745
-1.5,0.8377809038174132,0.3562285820516157,0.9343988427483712,0.18211428757241402,0.29844150343679815,0.0890673309736164,0.25002859248590836,0.7018768428011217,0.8256276859973822,0.3500488611789451,0.9367314421899819,0.17881163224483146,0.28901003124119135,0.08352679815803439,0.23861468332369598,0.681661075885392,0.820657268981288,0.3475118071602483,0.9376756069580878,0.17745810955586408,0.28518809060288136,0.08133224702171726,0.23404167958014874,0.673478353131826,0.8161740652109164,0.3452185285761018,0.938522331928096,0.17623580918203402,0.2817584098540879,0.07938780152350418,0.22996390677797446,0.6661401047229132,0.8120731181854107,0.3431166514447465,0.9392927996643775,0.17511648906463007,0.278635809040072,0.07763791407941548,0.22627265028528595,0.6594627492793761,0.8082815667397666,0.3411697950875344,0.940001686658024,0.17408053877853574,0.27576125649763744,0.07604427058515578,0.22289274044803703,0.6533190911312917
-1.25,0.8377810217117206,0.35622858664828294,0.9343988409959458,0.1821142900321063,0.2984415492851207,0.08906735833970311,0.25002866608131724,0.7018770403403345,0.8256278825093649,0.3500488686175297,0.936731439410244,0.17881163621533155,0.2890101061714899,0.08352684146925587,0.23861480198217397,0.6816614003768977,0.8206574979914583,0.34751181572309087,0.9376756037846141,0.17745811412185816,0.2851881772137805,0.08133229642251866,0.2340418159690057,0.6734787290096004,0.8161743237100674,0.34521853813406067,0.938522328412373,0.17623581427405932,0.2817585068937451,0.07938785620699261,0.22996405881356072,0.6661405266835858,0.8120734038080762,0.3431166618972428,0.9392927958461584,0.17511649462865458,0.2786359155301588,0.0776379734233298,0.2262728163477557,0.6594632131724348,0.8082818775680927,0.34116980635370764,0.9400016825690121,0.17408054477117035,0.2757613716491174,0.07604433409380265,0.2228929192373012,0.6533195936050011
-1.0,0.8377811861112326,0.35622859308256694,0.9343988385429506,0.18211429347511357,0.29844161323944857,0.08906739651296461,0.250028768724695,0.7018773158019438,0.8256281565424083,0.35004887903013293,0.9367314355191393,0.17881164177327635,0.2890102106933851,0.08352690188503485,0.23861496747671257,0.6816618528756154,0.8206578173443063,0.34751182770956407,0.9376755993423089,0.1774581205134467,0.2851882980294615,0.08133236533294096,0.23404200619299537,0.6734792531683208,0.8161746841865075,0.34521855151363956,0.9385223234909357,0.17623582140206176,0.28175864225696834,0.07938793248649026,0.2299642708609003,0.6661411151069453,0.8120738021095265,0.3431166765291411,0.9392927905012349,0.17511650241743906,0.2786360640762041,0.07763805620387852,0.22627304795919675,0.6594638600726225,0.8082823110201296,0.34116982212473834,0.9400016768449801,0.17408055316000148,0.27576153227731004,0.07604442268392991,0.2228931685995562,0.6533202943080415
-0.75,0.8377813966323722,0.3562286013534061,0.9343988353897901,0.18211429790086778,0.2984416951622531,0.08906744541131921,0.2500289001863651,0.701877668543288,0.8256285074601495,0.3500488924152302,0.9367314305172377,0.17881164891785203,0.28901034458286495,0.08352697927590634,0.23861517943849428,0.6816624323308741,0.8206582262994653,0.3475118431179961,0.9376755936317919,0.17745812872973818,0.2851884527912727,0.08133245360547997,0.23404224982877464,0.6734799243929843,0.8161751458056905,0.3452185687130526,0.9385223171644409,0.17623583056509,0.2817588156542075,0.07938803019886169,0.22996454244861148,0.6661418686309402,0.8120743121687299,0.34311669533856537,0.9392927836302918,0.17511651242998497,0.27863625436067313,0.07763816224414574,0.22627334460521492,0.6594646884843158,0.8082828660945781,0.34116984239867876,0.9400016694866349,0.17408056394399313,0.2757617380390396,0.07604453616631189,0.22289348798141717,0.6533211916220657
-0.5,0.8377816528908099,0.3562286114595871,0.934398831536927,0.18211430330871967,0.298441794915611,0.08906750495245162,0.25002906023610066,0.7018780979204574,0.8256289346251993,0.35004890877106026,0.9367314244051973,0.17881165764811857,0.28901050761536407,0.0835270735120904,0.23861543749796107,0.6816631376903416,0.8206587241155069,0.34751186194644856,0.937675586653781,0.17745813876969904,0.28518864123997667,0.08133256109230412,0.23404254645223427,0.6734807414668916,0.8161757077320163,0.3452185897302219,0.9385223094336526,0.17623584176203705,0.28175902679531245,0.0793881491806416,0.22996487310454827,0.6661427858918577,0.8120749330636378,0.34311671832332585,0.9392927752341287,0.17511652466512667,0.2786364860654299,0.07763829136689052,0.2262737057706712,0.6594656969103118,0.808283541789179,0.3411698671732478,0.9400016604948038,0.17408057712193206,0.2757619885905365,0.0760446743514072,0.22289387682878603,0.6533222839272596
-0.25,0.8377819545024446,0.3562286233997825,0.9343988269848673,0.18211430969795894,0.29844191236158507,0.08906757505404002,0.25002924864373605,0.7018786032899362,0.8256294374005788,0.35004892809567956,0.9367314171837442,0.17881166796303857,0.2890106995663116,0.08352718446380882,0.23861574128568153,0.6816639679023963,0.8206593100515434,0.34751188419277557,0.9376755784090716,0.17745815063218506,0.28518886311635505,0.0813326876455991,0.23404289563945194,0.6734817031742751,0.8161763691305745,0.34521861456284114,0.9385223002994189,0.1762358549916743,0.2817592753901869,0.07938828926840319,0.2299652623568244,0.6661438655271678,0.8120756638730566,0.34311674548098703,0.939292765313635,0.17511653912156774,0.27863675887243516,0.07763844339493557,0.22627413094076956,0.6594668838548656,0.8082843371027078,0.3411698964459041,0.940001649870409,0.1740805926924665,0.27576228358817706,0.07604483704976618,0.2228943345879986,0.6533235696055637
0.0,0.8377823010840771,0.3562286371725772,0.9343988217341502,0.18211431706782838,0.29844204736248653,0.08906765563391265,0.2500294651795871,0.7018791840097313,0.825630015150681,0.35004895038699835,0.936731408853659,0.17881167986149657,0.28901092021149744,0.08352731200149653,0.2386160904329309,0.6816649219177138,0.820659983368276,0.34751190985466285,0.9376755688985208,0.17745816431596229,0.2851891181616054,0.08133283311779413,0.2340432969673164,0.673482808302019,0.8161771291682639,0.34521864320841744,0.9385222897626563,0.17623587025267365,0.28175956114920936,0.07938845029899505,0.22996570973447156,0.6661451061773489,0.8120765036778257,0.34311677680891045,0.9392927538697743,0.1751165557979038,0.27863707246418484,0.07763861815141139,0.2262746196017402,0.6594682478256017,0.8082852510361993,0.3411699302138896,0.940001637614451,0.1740806106541295,0.27576262268893637,0.07604502407228068,0.22289486070652761,0.6533250470426517
0.25,0.8377826921873078,0.3562286527739151,0.9343988157863222,0.1821143254161576,0.29844219975518826,0.0890677465947157,0.2500297095732039,0.7018798393286134,0.8256306671193415,0.3500489756382087,0.9367313994174855,0.1788116933398588,0.2890111692806164,0.08352745596894909,0.23861648449809625,0.681665998487929,0.820660743180372,0.34751193892416027,0.9376755581250749,0.17745817981679143,0.2851894060615534,0.0813329973297416,0.2340437499256433,0.6734840553973604,0.8161779868415318,0.3452186756579613,0.9385222778266712,0.17623588754024608,0.2817598837186146,0.07938863207312723,0.22996621466616293,0.6661465062046956,0.8120774513648144,0.3431168122971492,0.9392927409061793,0.17511657468883998,0.2786374264506883,0.07763881541906273,0.22627517112692588,0.6594697870151724,0.8082862823739658,0.34116996846636644,0.9400016237308628,0.17408063100115634,0.2757630054693225,0.07604523518547358,0.22289545450707027,0.6533267142739264
