t_ps,Te_1p0mW,Tl_1p0mW,Ts_1p0mW,Te_2p0mW,Tl_2p0mW,Ts_2p0mW,Te_2p5mW,Tl_2p5mW,Ts_2p5mW,Te_3p0mW,Tl_3p0mW,Ts_3p0mW,Te_3p5mW,Tl_3p5mW,Ts_3p5mW,Te_4p0mW,Tl_4p0mW,Ts_4p0mW
-2.0,4.471849739551544,4.471849739551544,4.471849739551544,4.775087773799896,4.775087773799896,4.775087773799896,4.897829234600067,4.897829234600067,4.897829234600067,5.007903516292572,5.007903516292572,5.007903516292572,5.108064353466034,5.108064353466034,5.108064353466034,5.200219690799713,5.200219690799713,5.200219690799713
-1.75,4.471434334890223,4.471427969641622,4.4717060642620154,4.774389690166449,4.774390282750434,4.77485176593986,4.897013587693447,4.897019499813394,4.8975558537821335,5.006980988587679,5.0069928861561035,5.0075966197192665,5.107043421893549,5.107061752726898,5.107726959813909,5.199107284618662,5.199132354449304,5.1998542377661785
-1.5,4.47116790356454,4.471053174377385,4.471562299743458,4.7739345372231705,4.773756191576841,4.774615606393275,4.8964783344747325,4.896277655267613,4.8972822952465895,5.006372120317689,5.00615332328743,5.007289521803164,5.10636612099118,5.106132501611228,5.1073893431292765,5.198365813643907,5.198120016720759,5.199488541608961
-1.25,4.470945482787646,4.470726827563372,4.471418497438114,4.773554398696281,4.773191401516222,4.77437937652666,4.8960313308481425,4.895611565580176,4.897008651851419,5.005863719483767,5.005394442160492,5.006982325418509,5.1058006933163105,5.105287766426439,5.1070516151681264,5.197746951903792,5.197195220035448,5.199122722063171
-1.0,4.470743700223069,4.470440471407099,4.47127467961002,4.773208581011584,4.7726869035401425,4.774143111552088,4.8956243521684035,4.8950126119356465,4.896734963810654,5.00540057466107,5.004708174646021,5.006675075171971,5.10528539504119,5.104520105043005,5.106713824469175,5.197182812708282,5.196351177554655,5.198756831238567
-0.75,4.470555414841768,4.470185694743836,4.471130860223624,4.772884885399747,4.772232343239389,4.773906833370116,4.895242915164472,4.894470191618349,4.896461255976487,5.004966010517618,5.004083896344442,5.006367798446423,5.104801428946338,5.103819010482621,5.106376000631456,5.1966525343138255,5.195577586622519,5.198390900708041
-0.5,4.470377160300303,4.469955599679551,4.470987049512198,4.772577940962914,4.77181862858463,4.773670558331787,4.89488086846962,4.893974738453268,4.8961875469611265,5.004553145731574,5.003511783435566,5.006060515767301,5.10434121287927,5.1031745442423135,5.106038165827806,5.196147850572233,5.194864490970279,5.1980249540838726
-0.25,4.470206633558034,4.4697447477663745,4.470843255320446,4.772284367936442,4.771438211398193,4.773434299421482,4.894534461414161,4.893518159540788,4.895913851699183,5.004157914999506,5.002983389303546,5.005753243730573,5.103900402241009,5.102578037938748,5.105700338087345,5.195664159794049,5.194203093936131,5.197659010644942
0.0,4.4700421160110455,4.469548890933899,4.470699483730685,4.772001630639453,4.771084914113465,4.773198067133057,4.894200899267279,4.8930937225661895,4.895640182424446,5.003777321338201,5.002491590889003,5.005445996076603,5.103475836806711,5.102022095350497,5.105362532465983,5.19519816567649,5.193585812316228,5.197293086604677
0.25,4.594639847305128,4.470869106695148,4.470559474419752,5.004645401078332,4.773080268315893,4.77296863312516,5.17719275004677,4.895327063528176,4.895374676095892,5.335299140383233,5.004922583233374,5.0051482026240235,5.481979197190958,5.104620423015705,5.105035410830314,5.619340490921996,5.196328006427308,5.196939024013502
