t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,8.497840724587755190e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,4.043156037293877603e+01
4.000000000000000000e+00,3.116874400000000170e-02,3.984407843453281056e-02,2.001299166793946370e+03,2.001294271562194808e+03,2.314261341471913269e+01,2.231705581907389713e-01,-5.903768187035100216e-38,4.337667217266404363e-01
9.000000000000000000e+00,3.398992099999999933e-02,1.865292468650721043e-03,1.947233851190252381e+03,1.947227865947503460e+03,2.820675493955792490e+01,4.828680550433421537e-02,4.051178747150813675e-46,-1.606231426567463982e+00
1.400000000000000000e+01,3.614769899999999841e-02,8.732328943829423176e-05,1.894519160059001251e+03,1.894514016868145973e+03,3.158447970806995286e+01,1.044768451848866742e-02,1.616877018677647335e-45,-1.803018785528085255e+00
1.900000000000000000e+01,3.446519399999999761e-02,4.088022123373226823e-06,1.843119709342968463e+03,1.843115516817671505e+03,3.421303249054906814e+01,2.260537027835760569e-03,2.925522799900518158e-45,-1.723055298893831244e+00
2.400000000000000000e+01,3.116980199999999993e-02,1.913799284110613974e-07,1.793002221383447932e+03,1.792998980825112085e+03,3.639636806498378263e+01,4.891062364290877902e-04,1.491175612124270808e-44,-1.558480531003579417e+00
2.900000000000000000e+01,3.133069000000000132e-02,8.959412618766342698e-09,1.744134720845072252e+03,1.744132431288358930e+03,3.827595022333669306e+01,1.058265834913795617e-04,8.371535086293228752e-44,-1.566534052029368906e+00
3.400000000000000000e+01,2.897216400000000164e-02,4.194330886244002242e-10,1.696486271531632838e+03,1.696484933479013307e+03,3.993057376342767384e+01,2.289740947750422252e-05,3.758199563778306772e-53,-1.448608179028345599e+00
3.900000000000000000e+01,2.634845699999999874e-02,1.963567516311096036e-11,1.650026856491084345e+03,1.650026471806410427e+03,4.140925889643936131e+01,4.954250089962021741e-06,-8.894834335437334787e-53,-1.317422849018216269e+00
4.400000000000000000e+01,2.710479500000000097e-02,9.192401590646958150e-13,1.604727305211860084e+03,1.604727876986830552e+03,4.274490591845869858e+01,1.071937590921630975e-06,7.953525000702809537e-54,-1.355239749954038064e+00
4.900000000000000000e+01,2.665974200000000016e-02,4.303404201928336274e-14,1.560559248972487239e+03,1.560560781451815956e+03,4.396085393945856623e+01,2.319322153649729718e-07,6.958786614405854448e-53,-1.332987099997848146e+00
5.400000000000000000e+01,2.632692500000000102e-02,2.014629968316618324e-15,1.517495085764843679e+03,1.517497584306260705e+03,4.507438138277937867e+01,5.018254139036576404e-08,5.649019861019004471e-52,-1.316346249999899243e+00
5.900000000000000000e+01,2.625237399999999846e-02,9.431449426353465915e-17,1.475507952561706361e+03,1.475511423616515685e+03,4.609871760316532630e+01,1.085785972599656972e-08,1.638986862937860327e-53,-1.312618699999995142e+00
6.400000000000000000e+01,2.551499000000000128e-02,4.415313962451440427e-18,1.434571701848138673e+03,1.434576152954708050e+03,4.704427392500339522e+01,2.349285519698340217e-09,-2.239875968095652522e-53,-1.275749499999999870e+00
6.900000000000000000e+01,2.493275699999999984e-02,2.067020296233293522e-19,1.394660881006973568e+03,1.394666320792799752e+03,4.791943288197212070e+01,5.083085057611781494e-10,-1.651920694394212357e-51,-1.246637849999999936e+00
7.400000000000000000e+01,2.512380499999999905e-02,9.676713686265710820e-21,1.355750713742381777e+03,1.355757151932077704e+03,4.873107474249464843e+01,1.099813261778204711e-10,-1.468946991000536987e-51,-1.256190249999999953e+00
7.900000000000000000e+01,2.303099600000000149e-02,4.530133929386194934e-22,1.317817083034349025e+03,1.317824530291794417e+03,4.948494144846463172e+01,2.379635983030333854e-11,4.537606838833398081e-46,-1.151549799999999957e+00
8.400000000000000000e+01,2.155405300000000010e-02,2.120773031392179291e-23,1.280836516280518481e+03,1.280844984904356352e+03,5.018589326207463586e+01,5.148753528030084422e-12,-2.307983573743351320e-60,-1.077702649999999984e+00
8.900000000000000000e+01,2.391284700000000096e-02,9.928356028111136546e-25,1.244786166777933204e+03,1.244795669698679831e+03,5.083809423772486724e+01,1.114021769766593001e-12,3.218672342859027315e-61,-1.195642349999999965e+00
9.400000000000000000e+01,2.277660399999999891e-02,4.647939782470627213e-26,1.209643805390338002e+03,1.209654356869534922e+03,5.144515535423477814e+01,2.410378544562717414e-13,4.922667482676369866e-60,-1.138830199999999904e+00
9.900000000000000000e+01,2.212539300000000014e-02,2.175923603109481193e-27,1.175387803691085765e+03,1.175399419171087175e+03,5.201023321942071931e+01,5.215270370639331977e-14,-6.780169215563468118e-60,-1.106269649999999993e+00
1.040000000000000000e+02,2.089129400000000122e-02,1.018654231354959921e-28,1.141997122481038787e+03,1.142009818605247347e+03,5.253611725240388353e+01,1.128413837735828142e-14,2.397726401755369508e-59,-1.044564700000000013e+00
