t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.000000000000000000e+00,4.115286499999999681e-02,3.590117081227032353e-02,4.791894495487213135e+00,4.791894495487213135e+00,4.791894495487213135e+00,8.249487056584301481e-01,9.368607268883631933e-01,3.497027000384866913e-01,-2.625847093864836501e-01
4.000000000000000000e+00,3.116874400000000170e-02,3.574004180297628286e-02,3.418244050063402142e+02,6.733650728672307295e+00,2.454131585361040280e+01,8.203896387924054512e-01,9.369243951558010597e-01,3.495320840236791349e-01,2.285648901488140650e-01
9.000000000000000000e+00,3.398992099999999933e-02,3.502791451113792393e-02,2.282114713324358490e+02,8.792058654427705733e+00,2.942475221006271724e+01,8.002032879906154639e-01,9.372080144551840908e-01,3.487708956334680810e-01,5.189967555689622980e-02
1.400000000000000000e+01,3.614769899999999841e-02,3.398141825286260520e-02,1.261755456438855134e+02,9.993420651468214899e+00,3.112327337546723882e+01,7.704905262469077254e-01,9.376422944579771990e-01,3.476016795753150146e-01,-1.083140373568696607e-01
1.900000000000000000e+01,3.446519399999999761e-02,3.282777021907930248e-02,4.572557569380366260e+01,1.052109607503915178e+01,3.118167483687142649e+01,7.380293788572562796e-01,9.382102720537806029e-01,3.460657241229921910e-01,-8.187118904603475633e-02
2.400000000000000000e+01,3.116980199999999993e-02,3.172881861605732212e-02,2.020771750024884028e+01,1.068139483757575903e+01,3.037702542583483023e+01,7.077187704028599091e-01,9.389059562798983682e-01,3.441738009525558417e-01,2.795083080286610983e-02
2.900000000000000000e+01,3.133069000000000132e-02,3.073709322737406407e-02,1.962202800752364951e+01,1.078654043952985475e+01,2.946049168416438135e+01,6.809200949264391234e-01,9.396842963100033863e-01,3.420430137692828110e-01,-2.967983863129686206e-02
3.400000000000000000e+01,2.897216400000000164e-02,2.983788606058034726e-02,1.950005430782947258e+01,1.088504993070278459e+01,2.855803904348041300e+01,6.572552263679146689e-01,9.405580908076335289e-01,3.396328573861772115e-01,4.328610302901728102e-02
3.900000000000000000e+01,2.634845699999999874e-02,2.901302687685536341e-02,1.933489619809482818e+01,1.097782843500285566e+01,2.767007973208188432e+01,6.362898945830335329e-01,9.415510352993827770e-01,3.368703725866383225e-01,1.332284938427682197e-01
4.400000000000000000e+01,2.710479500000000097e-02,2.824640540174694348e-02,1.912910939265761812e+01,1.106514399651644176e+01,2.679538321278511503e+01,6.176541914729150040e-01,9.426881583176442980e-01,3.336750457671177061e-01,5.708052008734712524e-02
4.900000000000000000e+01,2.665974200000000016e-02,2.752393446275783889e-02,1.888805032457444000e+01,1.114721242933070577e+01,2.593281273602363157e+01,6.010341089585762298e-01,9.439935413873982162e-01,3.299639280571113886e-01,4.320962313789193654e-02
5.400000000000000000e+01,2.632692500000000102e-02,2.683359384472074755e-02,1.861645224143028798e+01,1.122420746116616108e+01,2.508135234828007043e+01,5.861633094305704894e-01,9.454873879795342440e-01,3.256587157925265874e-01,2.533344223603732626e-02
5.900000000000000000e+01,2.625237399999999846e-02,2.616558050722827405e-02,1.831844819524495449e+01,1.129626718918155959e+01,2.424012461035308874e+01,5.728161089193671840e-01,9.471825977557029042e-01,3.206947559732748476e-01,-4.339674638586220323e-03
6.400000000000000000e+01,2.551499000000000128e-02,2.551250769017716219e-02,1.799764386880545430e+01,1.136350043062990700e+01,2.340841885624801222e+01,5.608014885135057526e-01,9.490813755060130141e-01,3.150310185800985763e-01,-1.241154911419545259e-04
6.900000000000000000e+01,2.493275699999999984e-02,2.486957182463517269e-02,1.765720505310977018e+01,1.142599293859074017e+01,2.258572522347838074e+01,5.499579721728503623e-01,9.511726220095262363e-01,3.086594290468427926e-01,-3.159258768241357540e-03
7.400000000000000000e+01,2.512380499999999905e-02,2.423459755124452233e-02,1.729995651371538656e+01,1.148381346450347351e+01,2.177178708843427302e+01,5.401492346104780351e-01,9.534308905407093970e-01,3.016115663610231534e-01,-4.446037243777383602e-02
7.900000000000000000e+01,2.303099600000000149e-02,2.360788748763355260e-02,1.692848896354128385e+01,1.153701967499049275e+01,2.096666641345140292e+01,5.312603243324475200e-01,9.558174529057320568e-01,2.939608761736817732e-01,2.884457438167755544e-02
8.400000000000000000e+01,2.155405300000000010e-02,2.299184655671999977e-02,1.654527594961914971e+01,1.158566395606437105e+01,2.017083458096376702e+01,5.231944048975788464e-01,9.582835199016298544e-01,2.858193406418511606e-01,7.188967783599997663e-02
8.900000000000000000e+01,2.391284700000000096e-02,2.239040959597659100e-02,1.615280023241847474e+01,1.162979917218824433e+01,1.938528702370403778e+01,5.158699324024722532e-01,9.607750664799916684e-01,2.773288150019172504e-01,-7.612187020117049119e-02
9.400000000000000000e+01,2.277660399999999891e-02,2.180835457336217226e-02,1.575369214569341558e+01,1.166948448921906234e+01,1.861168474040199428e+01,5.092181995109197334e-01,9.632382667708934143e-01,2.686485462983286832e-01,-4.841247133189133245e-02
9.900000000000000000e+01,2.212539300000000014e-02,2.125061145080334862e-02,1.535087841239696083e+01,1.170479139656794487e+01,1.785252196887151754e+01,5.031811864317942140e-01,9.656244376542748586e-01,2.599412345220847298e-01,-4.373907745983257600e-02
1.040000000000000000e+02,2.089129400000000122e-02,2.072166967380035391e-02,1.494773512302361596e+01,1.173581006055630205e+01,1.711130462275848885e+01,4.977096676600071823e-01,9.678936430248693545e-01,2.513600918842263110e-01,-8.481216309982365920e-03
