t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,4.104960400000000342e-02,3.327860504379528267e-02,8.015984336923701603e-01,9.412430712809929378e-01,3.377298932068696913e-01,-3.885499478102360182e+00,1.000000000000000000e+00
-1.100000000000000000e+01,4.152382899999999821e-02,3.327861070248498698e-02,8.015986726894321901e-01,9.412430506752621495e-01,3.377299506344171309e-01,-4.122609148757505615e+00,1.000000000000000000e+00
-6.000000000000000000e+00,4.123406699999999925e-02,3.327862760214334720e-02,8.015993823333215085e-01,9.412429891362907863e-01,3.377301221416004195e-01,-3.977719698928325887e+00,1.000000000000000000e+00
-1.000000000000000000e+00,4.115286499999999681e-02,3.327865544231469602e-02,8.016005438849290732e-01,9.412428877580989450e-01,3.377304046792273251e-01,-3.937104778842650532e+00,1.000000000000000000e+00
4.000000000000000000e+00,3.116874400000000170e-02,3.248503266205096662e-02,7.981144815407303916e-01,9.440940379216505862e-01,3.296762769153899764e-01,6.581443310254824208e-01,1.000000000000000000e+00
9.000000000000000000e+00,3.398992099999999933e-02,3.150752082039745550e-02,7.942045876741005150e-01,9.474999412947996413e-01,3.197559401267647816e-01,-1.241200089801271833e+00,1.000000000000000000e+00
1.400000000000000000e+01,3.614769899999999841e-02,3.063505176465078361e-02,7.903461827556818031e-01,9.504420932204762362e-01,3.109016362689003832e-01,-2.756323617674607540e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.446519399999999761e-02,2.985104265205387394e-02,7.865386241579133131e-01,9.530080180746164364e-01,3.029450733804587848e-01,-2.307075673973061569e+00,1.000000000000000000e+00
2.400000000000000000e+01,3.116980199999999993e-02,2.914231162890084867e-02,7.827812768960216161e-01,9.552646092811251100e-01,2.957524746388088821e-01,-1.013745185549575600e+00,1.000000000000000000e+00
2.900000000000000000e+01,3.133069000000000132e-02,2.849823719243144843e-02,7.790735138798393633e-01,9.572638497838830141e-01,2.892160470944505346e-01,-1.416226403784276444e+00,1.000000000000000000e+00
3.400000000000000000e+01,2.897216400000000164e-02,2.791015647011720405e-02,7.754147158157207453e-01,9.590467357051908337e-01,2.832478750727317474e-01,-5.310037649413987815e-01,1.000000000000000000e+00
3.900000000000000000e+01,2.634845699999999874e-02,2.737092700055303307e-02,7.718042711096758657e-01,9.606460256856204083e-01,2.777754728812865670e-01,5.112350002765171375e-01,1.000000000000000000e+00
4.400000000000000000e+01,2.710479500000000097e-02,2.687460216414180522e-02,7.682415757717137028e-01,9.620882057182013058e-01,2.727384908991246082e-01,-1.150964179290978745e-01,1.000000000000000000e+00
4.900000000000000000e+01,2.665974200000000016e-02,2.641618711341026451e-02,7.647260333213641292e-01,9.633949183289515217e-01,2.680862386209946213e-01,-1.217774432948678237e-01,1.000000000000000000e+00
5.400000000000000000e+01,2.632692500000000102e-02,2.599145270012637871e-02,7.612570546943832062e-01,9.645840187841773217e-01,2.637757962857202876e-01,-1.677361499368111575e-01,1.000000000000000000e+00
5.900000000000000000e+01,2.625237399999999846e-02,2.559679183636959926e-02,7.578340581506090023e-01,9.656703669674283619e-01,2.597705571480191100e-01,-3.277910818151996142e-01,1.000000000000000000e+00
6.400000000000000000e+01,2.551499000000000128e-02,2.522910734224590931e-02,7.544564691829673819e-01,9.666664288953529249e-01,2.560390892943997798e-01,-1.429413288770459700e-01,1.000000000000000000e+00
6.900000000000000000e+01,2.493275699999999984e-02,2.488572345944484523e-02,7.511237204276091095e-01,9.675827391254372412e-01,2.525542376332576278e-01,-2.351677027757730076e-02,1.000000000000000000e+00
7.400000000000000000e+01,2.512380499999999905e-02,2.456431536355787801e-02,7.478352515751550689e-01,9.684282601417114611e-01,2.492924085464652273e-01,-2.797448182210605094e-01,1.000000000000000000e+00
7.900000000000000000e+01,2.303099600000000149e-02,2.426285251474614296e-02,7.445905092830548133e-01,9.692106645012972255e-01,2.462329949802704032e-01,6.159282573730707755e-01,1.000000000000000000e+00
8.400000000000000000e+01,2.155405300000000010e-02,2.397955275543600315e-02,7.413889470890260291e-01,9.699365584134467255e-01,2.433579106030427375e-01,1.212749877718001468e+00,1.000000000000000000e+00
8.900000000000000000e+01,2.391284700000000096e-02,2.371284483234662246e-02,7.382300253255714706e-01,9.706116604422559968e-01,2.406512094578516781e-01,-1.000010838266892493e-01,1.000000000000000000e+00
9.400000000000000000e+01,2.277660399999999891e-02,2.346133757951960469e-02,7.351132110355577121e-01,9.712409454886534732e-01,2.380987732146185865e-01,3.423667897598028920e-01,1.000000000000000000e+00
9.900000000000000000e+01,2.212539300000000014e-02,2.322379441073071232e-02,7.320379778888451705e-01,9.718287616657306227e-01,2.356880523048474063e-01,5.492007053653560344e-01,1.000000000000000000e+00
1.040000000000000000e+02,2.089129400000000122e-02,2.299911207590149900e-02,7.290038060999493030e-01,9.723789258331428931e-01,2.334078503298103457e-01,1.053909037950748973e+00,1.000000000000000000e+00
