t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,residual
-1.000000000000000000e+00,5.715688333333336646e-03,2.631174057921087939e-01,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,2.631174057921087939e-01,1.287008587293877149e+01
4.000000000000000000e+00,-4.268432666666658465e-03,-3.460675294074293898e-46,2.341345753957049283e+02,2.340876343192415732e+02,2.327742360657068730e+02,8.469907041389783675e-01,-3.460675294074293898e-46,2.134216333333329163e-01
9.000000000000000000e+00,-1.447255666666660834e-03,-1.634951872228651363e-51,2.311545295281237600e+02,2.311685162905108939e+02,2.313311447878347451e+02,8.364692166323363098e-01,-1.634951872228651363e-51,7.236278333333304169e-02
1.400000000000000000e+01,7.105223333333382518e-04,8.627546062615873729e-53,2.296772191281842197e+02,2.296913291903677248e+02,2.298511716966892209e+02,8.260784291426019887e-01,8.627546062615873729e-53,-3.552611666666691259e-02
1.900000000000000000e+01,-9.719826666666625536e-04,1.329706518559924245e-52,2.282101667025776237e+02,2.282243999044666225e+02,2.283814838499389737e+02,8.158167180880915303e-01,1.329706518559924245e-52,4.859913333333312768e-02
2.400000000000000000e+01,-4.267374666666660238e-03,-1.029817556286961905e-52,2.267532898291639469e+02,2.267676462339590842e+02,2.269220048444292672e+02,8.056824800555739685e-01,-1.029817556286961905e-52,2.133687333333330050e-01
2.900000000000000000e+01,-4.106486666666658847e-03,-1.156004980321654493e-52,2.253065130316928162e+02,2.253209926658435620e+02,2.254726587165429521e+02,7.956741315497395384e-01,-1.156004980321654493e-52,2.053243333333329423e-01
3.400000000000000000e+01,-6.465012666666658525e-03,-1.388869179992184442e-52,2.238697614699442511e+02,2.238843643222309652e+02,2.240333701463907516e+02,7.857901087457707101e-01,-1.388869179992184442e-52,3.232506333333329263e-01
3.900000000000000000e+01,-9.088719666666661423e-03,1.616562269080393110e-52,2.224429609472884124e+02,2.224576869678327853e+02,2.226040644633709178e+02,7.760288672449969782e-01,1.616562269080393110e-52,4.544359833333330712e-01
4.400000000000000000e+01,-8.332381666666659192e-03,-1.989851588669677585e-52,2.210260378972848798e+02,2.210408869964853125e+02,2.211846676308177848e+02,7.663888818335724551e-01,-1.989851588669677585e-52,4.166190833333329735e-01
4.900000000000000000e+01,-8.777434666666660001e-03,-1.879528949547180799e-52,2.196189193602871512e+02,2.196338914078368134e+02,2.197751062244174989e+02,7.568686462441642782e-01,-1.879528949547180799e-52,4.388717333333330139e-01
5.400000000000000000e+01,-9.110251666666659143e-03,7.531102506209339018e-53,2.182215329962403132e+02,2.182366278202105150e+02,2.183753074461762083e+02,7.474666729205936555e-01,7.531102506209339018e-53,4.555125833333329433e-01
5.900000000000000000e+01,-9.184802666666661702e-03,-7.800690874141500227e-53,2.168338070831892423e+02,2.168490244690474640e+02,2.169851991210745723e+02,7.381814927853992403e-01,-7.800690874141500227e-53,4.592401333333330782e-01
6.400000000000000000e+01,-9.922186666666658883e-03,2.777838296852570588e-52,2.154556704961032096e+02,2.154710101856644542e+02,2.156047096741130531e+02,7.290116550102939685e-01,2.777838296852570588e-52,4.961093333333329580e-01
6.900000000000000000e+01,-1.050441966666666033e-02,8.568391524072710038e-53,2.140870526978307282e+02,2.141025143883891815e+02,2.142337681249832997e+02,7.199557267894705070e-01,8.568391524072710038e-53,5.252209833333330025e-01
7.400000000000000000e+01,-1.031337166666666111e-02,3.680671546406086939e-53,2.127278837508129925e+02,2.127434670942376727e+02,2.128723040984509680e+02,7.110122931157193404e-01,3.680671546406086939e-53,5.156685833333330971e-01
7.900000000000000000e+01,-1.240618066666665867e-02,3.730391818378116806e-53,2.113780943088354149e+02,2.113937989106132136e+02,2.115202478145250495e+02,7.021799565593332959e-01,3.730391818378116806e-53,6.203090333333328710e-01
8.400000000000000000e+01,-1.388312366666666006e-02,-1.576310405328998000e-53,2.100376155924242596e+02,2.100534410107184158e+02,2.101775300637813757e+02,6.934573370497559841e-01,-1.576310405328998000e-53,6.941561833333329545e-01
8.900000000000000000e+01,-1.152432966666665920e-02,-5.537794715760826722e-53,2.087063793955024664e+02,2.087223251403722486e+02,2.088440822169165187e+02,6.848430716599414048e-01,-5.537794715760826722e-53,5.762164833333329739e-01
9.400000000000000000e+01,-1.266057266666666126e-02,-1.764649738311914945e-52,2.073843180892635019e+02,2.074003836218193442e+02,2.075198362266148422e+02,6.763358143933989597e-01,-1.764649738311914945e-52,6.330286333333330351e-01
9.900000000000000000e+01,-1.331178366666666002e-02,9.208443648690313707e-53,2.060713646072235576e+02,2.060875493387180200e+02,2.062047246106960756e+02,6.679342359738704715e-01,9.208443648690313707e-53,6.655891833333329455e-01
1.040000000000000000e+02,-1.454588266666665894e-02,-1.479411636981388237e-52,2.047674524273513725e+02,2.047837557184265336e+02,2.048986804369341712e+02,6.596370236376357665e-01,-1.479411636981388237e-52,7.272941333333329261e-01
