t_ps,S_exp,S_fit,Te_fit,Ts_fit,Tl_fit,m_fit,eta_fit,chi2q_fit,residual
-1.600000000000000000e+01,3.498277600000000015e-02,3.248449867410268393e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,9.307692307692307931e-01,3.656072196404967500e-01,-1.249138662948658107e-01
-1.100000000000000000e+01,3.538691399999999848e-02,3.248449867410268393e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,9.307692307692307931e-01,3.656072196404967500e-01,-1.451207662948657273e-01
-6.000000000000000000e+00,3.513997700000000279e-02,3.248449867410268393e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,9.307692307692307931e-01,3.656072196404967500e-01,-1.327739162948659291e-01
-1.000000000000000000e+00,3.507077599999999795e-02,3.248449867410268393e-02,4.000000000000003553e+00,4.000000000000000000e+00,4.000000000000000000e+00,8.563488385776752976e-01,9.307692307692307931e-01,3.656072196404967500e-01,-1.293138662948656870e-01
4.000000000000000000e+00,2.159466800000000089e-02,3.224432190818781602e-02,3.211735607420759493e+02,8.296611100932306471e+00,2.716014730279712097e+01,8.425090263899026599e-01,9.309814598782109041e-01,3.650664615697190585e-01,5.324826954093907494e-01
9.000000000000000000e+00,3.000561599999999884e-02,3.154877210945948585e-02,1.719349703194834547e+02,1.101607517724455754e+01,3.108212465889833354e+01,8.028134383215360659e-01,9.317029326009312884e-01,3.632212072316599594e-01,7.715780547297435010e-02
1.400000000000000000e+01,2.822585600000000056e-02,2.974872085059528104e-02,5.284015941145410977e+01,1.205952906429134863e+01,3.210692228424935735e+01,7.518651579058016621e-01,9.429782135298216961e-01,3.328544558934219411e-01,7.614324252976402418e-02
1.900000000000000000e+01,2.722820800000000027e-02,2.699117110283866944e-02,1.951927280737247372e+01,1.223504817289767388e+01,3.183082612427168456e+01,7.030679065073421885e-01,9.640044299333946354e-01,2.658861769043113776e-01,-1.185184485806654170e-02
2.400000000000000000e+01,2.408132500000000065e-02,2.514848049660811311e-02,1.970527558599815166e+01,1.232282888923726105e+01,3.142451096607825534e+01,6.604987799697891182e-01,9.757349103680114100e-01,2.189552116053158359e-01,5.335777483040562291e-02
2.900000000000000000e+01,2.747238499999999847e-02,2.389068073290511601e-02,2.000536433897148569e+01,1.240561317842807476e+01,3.102354729593133698e+01,6.234337669594742781e-01,9.826176075842247837e-01,1.856411518641663816e-01,-1.790852133547441161e-01
3.400000000000000000e+01,2.845006900000000144e-02,2.298665391802790642e-02,2.025161845876539246e+01,1.248392258228864904e+01,3.062790155329757624e+01,5.910688432120609903e-01,9.870061307225811431e-01,1.606825999168516872e-01,-2.731707540986047511e-01
3.900000000000000000e+01,2.634558799999999965e-02,2.231151099597276574e-02,2.044761481169043549e+01,1.255807559945469087e+01,3.023713692946935794e+01,5.627210443828881692e-01,9.899775477680167191e-01,1.412248381667484121e-01,-2.017038502013616952e-01
4.400000000000000000e+01,2.052218700000000076e-02,2.179119466753745571e-02,2.059774152853007934e+01,1.262839043560516217e+01,2.985083158604507148e+01,5.378099653062901053e-01,9.920874425250562068e-01,1.255488207196436556e-01,6.345038337687274044e-02
4.900000000000000000e+01,2.331373399999999915e-02,2.137892364325863492e-02,2.070658187350750268e+01,1.269517405498870311e+01,2.946859165398633706e+01,5.158418873672101501e-01,9.936469797314468888e-01,1.125419018435955126e-01,-9.674051783706820451e-02
5.400000000000000000e+01,2.147578899999999860e-02,2.104383073636300824e-02,2.077865974813558125e+01,1.275871381751719191e+01,2.909005324775169044e+01,4.963964752642756051e-01,9.948408080569469680e-01,1.014483446124228722e-01,-2.159791318184951792e-02
5.900000000000000000e+01,1.530577200000000047e-02,2.076492481836640300e-02,2.081827234801167492e+01,1.281927209578937088e+01,2.871488916091762533e+01,4.791156206104162374e-01,9.957830694468052801e-01,9.173918793568469621e-02,2.729576409183201435e-01
6.400000000000000000e+01,2.054190100000000130e-02,2.052763310554791068e-02,2.082938764984668367e+01,1.287708348576426687e+01,2.834280662441284449e+01,4.636940723161926958e-01,9.965463501889686437e-01,8.303837621874292363e-02,-7.133947226045309065e-04
6.900000000000000000e+01,1.741751100000000010e-02,2.032170356632695060e-02,2.081559548192697662e+01,1.293235404021126378e+01,2.797354902237145069e+01,4.498715521971753395e-01,9.971776831539630459e-01,7.507774783312673450e-02,1.452096283163475110e-01
7.400000000000000000e+01,1.789720499999999936e-02,2.013987674545862638e-02,2.078009182126093890e+01,1.298526194056632121e+01,2.760689353019120418e+01,4.374261055625521810e-01,9.977078879371509279e-01,6.766808958430411969e-02,1.121335872729313510e-01
7.900000000000000000e+01,1.729575800000000135e-02,1.997701961593898248e-02,2.072568871389308853e+01,1.303595912946943081e+01,2.724264851407463439e+01,4.261684803887021422e-01,9.981572766668680430e-01,6.067990636925327252e-02,1.340630807969490634e-01
8.400000000000000000e+01,1.895899499999999932e-02,1.982954980141473852e-02,2.065483790467859393e+01,1.308457351478753239e+01,2.688065326277115474e+01,4.159373650182718873e-01,9.985392862644892897e-01,5.403048941481330275e-02,4.352774007073696022e-02
8.900000000000000000e+01,2.356499999999999914e-02,1.969504648878125583e-02,2.056966204373404494e+01,1.313121148656535908e+01,2.652077254523516103e+01,4.065953441404911994e-01,9.988628923625352263e-01,4.767517447425279747e-02,-1.934976755609371657e-01
