t_ps,delta_k_exp,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.600000000000000000e+01,3.498277600000000015e-02,3.514379399775897223e-02,8.332402836984410532e-01,9.352743034179393788e-01,3.539236886195782916e-01,8.050899887948603784e-02,1.000000000000000000e+00
-1.100000000000000000e+01,3.538691399999999848e-02,3.514418620884031397e-02,8.332426880754610909e-01,9.352742715898560988e-01,3.539237727280609147e-01,-1.213638955798422570e-01,1.000000000000000000e+00
-6.000000000000000000e+00,3.513997700000000279e-02,3.514533649946344901e-02,8.332496978554072564e-01,9.352741715156170921e-01,3.539240371828058507e-01,2.679749731723107820e-03,1.000000000000000000e+00
-1.000000000000000000e+00,3.507077599999999795e-02,3.514712629393724336e-02,8.332605293924292278e-01,9.352740037005881080e-01,3.539244806478810124e-01,3.817514696862270296e-02,1.000000000000000000e+00
4.000000000000000000e+00,2.159466800000000089e-02,3.373682136936122927e-02,8.245775948487266138e-01,9.353835369398343369e-01,3.536348948024297667e-01,6.071076684680614122e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.000561599999999884e-02,3.101291113640307698e-02,8.078860402902765525e-01,9.356144738072763589e-01,3.530234502158932641e-01,5.036475682015391087e-01,1.000000000000000000e+00
1.400000000000000000e+01,2.822585600000000056e-02,2.867015230224110450e-02,7.936896217799798148e-01,9.358471608961453914e-01,3.524061455801022480e-01,2.221481511205519732e-01,1.000000000000000000e+00
1.900000000000000000e+01,2.722820800000000027e-02,2.671265720703714514e-02,7.819951013703219100e-01,9.360759866996974932e-01,3.517978782258183723e-01,-2.577753964814275545e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.408132500000000065e-02,2.507505079468450720e-02,7.723786116507617150e-01,9.363008644835300043e-01,3.511989338927361537e-01,4.968628973422532513e-01,1.000000000000000000e+00
2.900000000000000000e+01,2.747238499999999847e-02,2.370224168137182938e-02,7.644825074782172214e-01,9.365218038512019838e-01,3.506093423046379720e-01,-1.885071659314084602e+00,1.000000000000000000e+00
3.400000000000000000e+01,2.845006900000000144e-02,2.254824925926141727e-02,7.580078340324423181e-01,9.367388603148403270e-01,3.500290096207084867e-01,-2.950909870369291976e+00,1.000000000000000000e+00
3.900000000000000000e+01,2.634558799999999965e-02,2.157496905779805740e-02,7.527064280688092746e-01,9.369521060300075588e-01,3.494577957435395787e-01,-2.385309471100971024e+00,1.000000000000000000e+00
4.400000000000000000e+01,2.052218700000000076e-02,2.075093806148496645e-02,7.483730265070913656e-01,9.371616175644132962e-01,3.488955467816298728e-01,1.143755307424828421e-01,1.000000000000000000e+00
4.900000000000000000e+01,2.331373399999999915e-02,2.005021772652330891e-02,7.448381199786447970e-01,9.373674715136113278e-01,3.483421067688762252e-01,-1.631758136738345133e+00,1.000000000000000000e+00
5.400000000000000000e+01,2.147578899999999860e-02,1.945143686993036983e-02,7.419618181816582947e-01,9.375697430539812194e-01,3.477973215964890730e-01,-1.012176065034814387e+00,1.000000000000000000e+00
5.900000000000000000e+01,1.530577200000000047e-02,1.893699079376632427e-02,7.396287059450754597e-01,9.377685055119669988e-01,3.472610402418501718e-01,9.684953968831615523e-01,0.000000000000000000e+00
6.400000000000000000e+01,2.054190100000000130e-02,1.849237767744406000e-02,7.377435717099360968e-01,9.379638302731200250e-01,3.467331150890808344e-01,-1.024761661277970637e+00,1.000000000000000000e+00
6.900000000000000000e+01,1.741751100000000010e-02,1.810565088971354680e-02,7.362278744739909619e-01,9.381557868015633073e-01,3.462134019513684047e-01,3.440699448567733354e-01,1.000000000000000000e+00
7.400000000000000000e+01,1.789720499999999936e-02,1.776696768937062118e-02,7.350168262180486467e-01,9.383444426933308380e-01,3.457017599991968337e-01,-6.511865531468909174e-02,1.000000000000000000e+00
7.900000000000000000e+01,1.729575800000000135e-02,1.746821758301284749e-02,7.340569841574566823e-01,9.385298637383514553e-01,3.451980516620442585e-01,8.622979150642307022e-02,1.000000000000000000e+00
8.400000000000000000e+01,1.895899499999999932e-02,1.720271635126283116e-02,7.333042642529847832e-01,9.387121139829285310e-01,3.447021425255454852e-01,-8.781393243685841066e-01,1.000000000000000000e+00
8.900000000000000000e+01,2.356499999999999914e-02,1.696495415894051090e-02,7.327223024526016149e-01,9.388912557902273637e-01,3.442139012309785584e-01,-3.300022920529744219e+00,1.000000000000000000e+00
