t_ps,delta_k_exp,sigma_dk,delta_k_fit,m_fit,eta_fit,chi2q_fit,residual,is_resolved
-1.000000000000000000e+00,3.487481902753000046e-02,2.283778591448000202e-04,3.041108371523230242e-02,7.979276374149018025e-01,9.419205560134007449e-01,3.358357726023331047e-01,-8.927470624595395421e+00,1.000000000000000000e+00
4.000000000000000000e+00,2.310418753438999925e-02,3.672036107942000440e-03,2.974309431814009877e-02,7.932438839365772987e-01,9.420123567116858165e-01,3.355781873163026785e-01,1.807963371980807477e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.045068304052999872e-02,6.045138035164999632e-04,2.827551156907759725e-02,7.829661549720240421e-01,9.422195225455389789e-01,3.349960765950200092e-01,-3.598216382817519765e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.889616100332000059e-02,4.224319881649000259e-04,2.684731777584102239e-02,7.730293638017297075e-01,9.424360045714599288e-01,3.343865686408220017e-01,-4.097686454957956137e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.802477120841000147e-02,1.126796580003999911e-03,2.555167883805105344e-02,7.640931332782687768e-01,9.426489807819471434e-01,3.337857082482055260e-01,-2.194799322474132008e+00,1.000000000000000000e+00
2.400000000000000000e+01,2.527614411282000026e-02,9.634956451702999733e-04,2.437681228911963566e-02,7.560686464181196609e-01,9.428583394949344720e-01,3.331938649568067512e-01,-9.334051774996925399e-01,1.000000000000000000e+00
2.900000000000000000e+01,2.823804609030999835e-02,1.028584580190999983e-03,2.331099279503178606e-02,7.488677483543909608e-01,9.430641189688132586e-01,3.326109852569155700e-01,-4.790129455725748109e+00,1.000000000000000000e+00
3.400000000000000000e+01,2.909199905299000161e-02,1.132178131887000196e-03,2.234365430949813991e-02,7.424108260872774867e-01,9.432663592655173845e-01,3.320370091992393968e-01,-5.960497339976353004e+00,1.000000000000000000e+00
3.900000000000000000e+01,2.725385238284000131e-02,4.515797013479000248e-03,2.146527085625934972e-02,7.366259501798744225e-01,9.434651024507716421e-01,3.314718697831762761e-01,-1.281851577761926375e+00,1.000000000000000000e+00
4.400000000000000000e+01,2.216743472609000037e-02,1.122393707123599867e-03,2.066724978742841279e-02,7.314481042044561621e-01,9.436603927405713410e-01,3.309154924942480092e-01,-1.336594217465961520e+00,1.000000000000000000e+00
4.900000000000000000e+01,2.460569624535999950e-02,3.629204771149999891e-04,1.994183664377959311e-02,7.268184961294925639e-01,9.438522765454049335e-01,3.303677951315116545e-01,-9.327719203160812711e+00,1.000000000000000000e+00
5.400000000000000000e+01,2.300035303406000251e-02,4.249955265218999787e-04,1.928203061880807978e-02,7.226839448736666061e-01,9.440408023923778646e-01,3.298286879856806020e-01,-7.436644830503845505e+00,1.000000000000000000e+00
5.900000000000000000e+01,1.718838242765999974e-02,6.869459257062999862e-03,1.868150958537777295e-02,7.189963348645967978e-01,9.442260207241059966e-01,3.292980743756636075e-01,2.173573059891982795e-01,1.000000000000000000e+00
6.400000000000000000e+01,2.218465401075999863e-02,5.058160921660000619e-04,1.813456358812390312e-02,7.157121309586494950e-01,9.444079835936005640e-01,3.287758514925776532e-01,-8.007041463020369676e+00,1.000000000000000000e+00
6.900000000000000000e+01,1.945567263224999913e-02,4.351825148921000344e-04,1.763603568990778497e-02,7.127919458970680688e-01,9.445867442897384336e-01,3.282619114550336947e-01,-3.639273884684428140e+00,1.000000000000000000e+00
7.400000000000000000e+01,1.987465863168999883e-02,6.540616205963999509e-04,1.718126911808657772e-02,7.102001528290201593e-01,9.447623569339589356e-01,3.277561424605049401e-01,-4.117944592357336120e+00,1.000000000000000000e+00
7.900000000000000000e+01,1.934932803601000298e-02,1.540577905676000130e-03,1.676605978223823581e-02,7.079045363005921354e-01,9.449348760853443219e-01,3.272584299259150842e-01,-1.676817669690153112e+00,1.000000000000000000e+00
8.400000000000000000e+01,2.080207386344000084e-02,9.826407838772999951e-04,1.638661339844670051e-02,7.058759762667872195e-01,9.451043563815129112e-01,3.267686575372342195e-01,-4.493463468482138623e+00,1.000000000000000000e+00
8.900000000000000000e+01,2.482516270914999698e-02,1.351401559386000099e-03,1.603950661931017804e-02,7.040881608586855300e-01,9.452708522311236150e-01,3.262867081605458353e-01,-6.501143963332054021e+00,1.000000000000000000e+00
