dataset,fluence_ratio,t_ps,y_exp,sigma,y_fit_raw,y_fit,residual_raw,residual,offset_mask,offset_pre0,offset_npts,offset_apply_to,u_m_chi2q,u_raw_m_chi2q,m,eta,phi,chi2q,Te,Ts,Tl,A_obs,B_obs,readout_source,dt_i_ps,sigma_irf_ps,y_column
deltak12k_1p0mW.csv,1.0,-16.0,0.040743009,,0.039229896873926196,0.040930363335947365,-0.0015131121260738012,0.00018735433594736783,1,0.0017004664620211708,4,pre0_only,0.2984414666006549,0.2984414666006549,0.8377808090603992,0.9343988441503965,0.18211428560454088,0.3562285783740589,4.471849739551544,4.471849739551544,4.471849739551544,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,-11.0,0.041213691,,0.0392304250025765,0.04093089146459767,-0.001983265997423496,-0.0002827995354023269,1,0.0017004664620211708,4,pre0_only,0.2984449874583236,0.2984449874583236,0.8377898309585822,0.934398704449371,0.18211448168784544,0.3562289448140578,4.468252727412271,4.468977000764362,4.467657055698984,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,-6.0,0.040926093,,0.03923190524688214,0.040932371708903306,-0.0016941877531178595,6.2787089033095045e-06,1,0.0017004664620211708,4,pre0_only,0.2984548557536945,0.2984548557536945,0.8378149673836834,0.9343982885549679,0.18211506543289535,0.3562300357150518,4.46539730426026,4.466119803059617,4.464801147025327,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,-1.0,0.040845498,,0.039234198028530475,0.040934664490551644,-0.0016112999714695264,8.916649055164261e-05,1,0.0017004664620211708,4,pre0_only,0.29847014096468344,0.29847014096468344,0.8378536376110007,0.9343976016029024,0.18211602962774023,0.3562318375984152,4.462562854572046,4.463280014935312,4.461971556009933,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,4.0,0.040111646,,0.03899982422491422,0.03899982422491422,-0.0011118217750857792,-0.0011118217750857792,0,0.0017004664620211708,4,pre0_only,0.2969076489405751,0.2969076489405751,0.8338329038076622,0.9344571064972967,0.1820324914230899,0.356075716830985,176.44371724064592,6.0890164093919275,21.653738337450257,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,9.0,0.037312835,,0.03817198488099505,0.03817198488099505,0.0008591498809950443,0.0008591498809950443,0,0.0017004664620211708,4,pre0_only,0.29138871998111393,0.29138871998111393,0.8196542058218573,0.9346755152913814,0.18172555547199587,0.35550201281397925,52.36243246478945,7.1661637169893675,24.04860764899224,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,14.0,0.036486074,,0.03724894004003124,0.03724894004003124,0.0007628660400312431,0.0007628660400312431,0,0.0017004664620211708,4,pre0_only,0.2852350877080219,0.2852350877080219,0.8039360064417015,0.9349428871481833,0.18134913459986543,0.35479824939114246,12.999892804265247,7.336599321088509,23.352755589239962,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,19.0,0.036657527,,0.03642082681440832,0.03642082681440832,-0.00023670018559168032,-0.00023670018559168032,0,0.0017004664620211708,4,pre0_only,0.27971433287053576,0.27971433287053576,0.7899728829450225,0.9352147855906199,0.1809655735684467,0.354080929750094,12.784073461597115,7.409798154494063,22.368295170060602,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,24.0,0.034626156,,0.03568200863716625,0.03568200863716625,0.0010558526371662533,0.0010558526371662533,0,0.0017004664620211708,4,pre0_only,0.27478887835558863,0.27478887835558863,0.7776540422255744,0.9354888534557609,0.18057816408799077,0.3533562013889468,12.558125715597226,7.475670136628658,21.374192749760848,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,29.0,0.034941703,,0.0350215104737813,0.0350215104737813,7.98074737813001e-05,7.98074737813001e-05,0,0.0017004664620211708,4,pre0_only,0.2703855572663556,0.2703855572663556,0.7667771346593227,0.9357643405341045,0.1801879459463738,0.3526260044080308,12.301458880323992,7.5343759456158645,20.366470884442467,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
