scan_param,scan_value,mode,reoptimize_readout,total_cost,total_wrms,wrms_1p0,wrms_2p0,wrms_2p5,S_scale,A_obs,B_obs,B0_obs
tau_e_sink,1e-13,dk_chi2q,False,6220.455999818829,12.879395430758208,13.915847922560133,12.818148542610606,11.818660013777142,0.03,0.04,0.02,0.02
tau_e_sink,3e-13,dk_chi2q,False,6236.844050475753,12.896349923370568,13.928780116754513,12.837067200760906,11.83834085420389,0.03,0.04,0.02,0.02
tau_e_sink,1e-12,dk_chi2q,False,6261.146654238393,12.921451574017931,13.945316052799033,12.86560835365875,11.86996268809988,0.03,0.04,0.02,0.02
tau_e_sink,3e-12,dk_chi2q,False,6335.567331649525,12.998017624904216,13.956736163765896,12.893448979865381,12.07534163452942,0.03,0.04,0.02,0.02
tau_e_sink,1e-11,dk_chi2q,False,6758.935333398641,13.425284933933325,13.962864542349886,12.982979215454959,13.31147967488754,0.03,0.04,0.02,0.02
tau_s_sink,3e-10,dk_chi2q,False,6794.642975763911,13.460701295018186,13.957178837883289,12.97269350122881,13.434203373167744,0.03,0.04,0.02,0.02
tau_s_sink,1e-09,dk_chi2q,False,6919.008390370529,13.583331344330844,13.963246187228897,13.094573743221215,13.677739785060302,0.03,0.04,0.02,0.02
tau_s_sink,3e-09,dk_chi2q,False,6996.501395563426,13.659186306232082,13.965122183568136,13.180787445997833,13.818911547097807,0.03,0.04,0.02,0.02
tau_s_sink,1e-08,dk_chi2q,False,7033.859050906267,13.695604210506149,13.965794785682906,13.223144684829846,13.885738897183312,0.03,0.04,0.02,0.02
tau_s_sink,3e-08,dk_chi2q,False,7045.437764529724,13.706872013244281,13.965988519279941,13.23670618210951,13.905962580498434,0.03,0.04,0.02,0.02
tau_l_sink,5e-11,dk_chi2q,False,6326.051071992752,12.98825220162975,13.810224626044985,12.690570457405963,12.422206044145938,0.03,0.04,0.02,0.02
tau_l_sink,1e-10,dk_chi2q,False,6422.353055849935,13.086739401241177,13.825052032761278,12.722415630436007,12.68054893472186,0.03,0.04,0.02,0.02
tau_l_sink,3e-10,dk_chi2q,False,6655.825929920733,13.322488185941577,13.87319688862196,12.835481389777264,13.238236286449569,0.03,0.04,0.02,0.02
tau_l_sink,1e-09,dk_chi2q,False,7122.145855974606,13.78128765727848,13.983064443738959,13.344577130333297,14.005992947763371,0.03,0.04,0.02,0.02
tau_l_sink,3e-09,dk_chi2q,False,7755.397434519439,14.380910897917827,14.159459871337258,14.615387945959128,14.364258633937833,0.03,0.04,0.02,0.02
G_el0,10000000000000.0,dk_chi2q,False,7039.644518403976,13.701235485316863,13.965888495954571,13.229953113544273,13.895821695902047,0.03,0.04,0.02,0.02
G_el0,30000000000000.0,dk_chi2q,False,7039.675728347259,13.701265857184884,13.96588913589854,13.229986091762001,13.895879494416892,0.03,0.04,0.02,0.02
G_el0,100000000000000.0,dk_chi2q,False,7039.776635996559,13.701364054717626,13.965891261768565,13.230092089852917,13.896066905358234,0.03,0.04,0.02,0.02
G_el0,300000000000000.0,dk_chi2q,False,7039.984317652763,13.701566156370848,13.96589633638844,13.230302816830202,13.896458984520041,0.03,0.04,0.02,0.02
G_el0,1000000000000000.0,dk_chi2q,False,7039.7323104641555,13.701320919740214,13.965903190203248,13.229937519204984,13.896074487312431,0.03,0.04,0.02,0.02
G_es0,100000000000000.0,dk_chi2q,False,6502.535222078198,13.168179040984317,13.954178023898864,12.90926270470315,12.602962741536379,0.03,0.04,0.02,0.02
G_es0,300000000000000.0,dk_chi2q,False,6584.966961040861,13.251381775539095,13.95652199548554,12.933752401202623,12.834753581474894,0.03,0.04,0.02,0.02
G_es0,1000000000000000.0,dk_chi2q,False,6749.183612029383,13.415596507577174,13.960507800914854,13.008130102446126,13.259994801687556,0.03,0.04,0.02,0.02
G_es0,3000000000000000.0,dk_chi2q,False,6909.946404603602,13.574433227803512,13.963690399725197,13.116751548167036,13.629449424410664,0.03,0.04,0.02,0.02
G_es0,1e+16,dk_chi2q,False,7016.505054549756,13.67869882169573,13.965486339052626,13.206262445966383,13.852083882433465,0.03,0.04,0.02,0.02
G_sl0,100000000000000.0,dk_chi2q,False,6999.272073480666,13.661890619267076,13.965552244326672,13.180849968079258,13.826435206097795,0.03,0.04,0.02,0.02
G_sl0,300000000000000.0,dk_chi2q,False,7009.020816794186,13.67140160265868,13.965640977542218,13.19212091714073,13.843788612134562,0.03,0.04,0.02,0.02
G_sl0,1000000000000000.0,dk_chi2q,False,7023.6708135165245,13.685681874150102,13.96576716197404,13.210053372215611,13.868868106736919,0.03,0.04,0.02,0.02
G_sl0,3000000000000000.0,dk_chi2q,False,7034.008224438898,13.695749437387644,13.965850356698397,13.222962238520694,13.886286451318611,0.03,0.04,0.02,0.02
G_sl0,1e+16,dk_chi2q,False,7039.2044082153825,13.7008071861628,13.965890916124023,13.229309863929144,13.895164774132843,0.03,0.04,0.02,0.02
S_scale,0.003,dk_chi2q,False,6031.160366517795,12.68191401591815,13.766895399441225,12.602306049449014,11.582197659265207,0.003,0.04,0.02,0.02
S_scale,0.01,dk_chi2q,False,6121.212028539081,12.776240478366168,13.831474792250184,12.70767256814035,11.700526708460927,0.01,0.04,0.02,0.02
S_scale,0.03,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
S_scale,0.1,dk_chi2q,False,9134.251851334124,15.607051270784945,16.776467569161646,15.53890941363743,14.416399628283319,0.1,0.04,0.02,0.02
S_scale,0.3,dk_chi2q,False,9212.80783937903,15.674019130930462,16.830409093563556,15.606974300922438,14.49773465283325,0.3,0.04,0.02,0.02
sigma_irf_ps,0.08,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
sigma_irf_ps,0.12,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
sigma_irf_ps,0.2,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
sigma_irf_ps,0.35,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
sigma_irf_ps,0.5,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
K_dk,0.003,dk_chi2q,False,9398.464211664432,15.831162696120948,16.853876285068324,15.702360599928427,14.87480630766604,0.03,0.04,0.02,0.02
K_dk,0.01,dk_chi2q,False,8378.623114160324,14.94757337198724,15.664020628016234,14.684252307367329,14.46724027143688,0.03,0.04,0.02,0.02
K_dk,0.02,dk_chi2q,False,7040.053188897075,13.701633176520309,13.965899017194047,13.230362082820166,13.896598105679635,0.03,0.04,0.02,0.02
K_dk,0.04,dk_chi2q,False,4780.604850067224,11.290827959091072,10.57906206285183,10.325535065027083,12.802935581209617,0.03,0.04,0.02,0.02
K_dk,0.08,dk_chi2q,False,1932.4742191940916,7.178624230670929,3.957211362636183,4.554131692183549,10.871904170714522,0.03,0.04,0.02,0.02
